number,lowPre,avPre,highPre
352,2.41918788,6.77550112,11.3722711
353,4.65924241,8.20469703,11.26843436
354,6.35414089,8.65697085,11.18995114
355,6.98323373,10.01944275,13.8255571
356,6.03827916,9.24192006,12.1867167
357,5.43221503,8.4161078,11.83762617
358,5.93936617,8.08238119,11.4462675
359,5.61254069,8.39293577,12.89984239
360,3.58015787,7.67730416,12.87802395
361,2.17746336,6.81452596,13.17039831
362,0.45507835,5.72635,12.81214389
363,2.28355107,6.53380932,12.52698386
364,0.12357173,5.37055506,12.59777684
365,-0.92079213,4.90849086,12.89293685
