number,av2019,av2020,av2021,mean
353,10.47849179,7.06696828,7.06863531,8.20469846
354,13.75181826,7.80105637,4.41803133,8.656968653
355,14.67712279,7.1257569,8.25545507,10.01944492
356,11.73712298,6.5689537,9.41969493,9.24192387
357,8.60211322,8.01331598,8.63289064,8.416106613
358,6.53285932,7.1649989,10.54928382,8.08238068
359,7.56548499,8.43476429,9.17856638,8.392938553
360,8.2630956,5.05452303,9.714287,7.677301877
361,5.68761755,1.99096347,12.76499589,6.814525637
362,4.00786382,0.95927896,12.21190665,5.72634981
363,3.4780972,6.92929312,9.19404713,6.533812483
364,3.9192844,5.71404734,6.47833075,5.370554163
365,4.06071222,3.83785374,6.82691366,4.908493207
