number,low2019,low2020,low2021,mean
209,15.39485049,22.32151321,17.78756518,18.50130963
210,16.58863609,23.86393954,23.12105848,21.19121137
211,16.84272723,22.86030283,22.919246,20.87409202
212,17.44242283,23.22515141,16.55939405,19.0756561
213,22.74121217,19.93242399,12.00560607,18.22641408
214,21.61500037,19.61333457,12.57757117,17.93530204
215,20.53121262,20.18575935,17.39893935,19.37197044
216,17.81393965,18.27590946,21.90424236,19.33136382
217,16.01984776,17.87242206,16.58924203,16.82717062
218,13.63423897,19.19197002,18.10378907,16.97666602
219,23.34212121,21.48863533,18.4512125,21.09398968
220,18.93302608,22.17438932,15.37939275,18.82893605
221,23.78863633,23.21681862,20.33666694,22.44737396
222,20.36242269,24.02984486,21.25302959,21.88176571
223,18.0577314,23.14894137,21.78196897,20.99621391
224,14.77272741,14.94924078,21.36121154,17.02772658
225,14.48636366,13.97454693,21.06909255,16.51000105
226,14.91545451,16.9512122,24.34469796,18.73712156
227,16.84303094,17.42969753,20.92576275,18.39949707
228,19.78151577,16.56363818,17.00439091,17.78318162
229,18.93878691,13.65469653,17.25333288,16.61560544
230,17.80863624,14.77439359,17.89439361,16.82580781
231,21.80878912,17.72863791,19.25227477,19.59656727
232,20.00939474,16.30272722,18.24939468,18.18717221
233,17.27469729,15.37893768,16.53818198,16.39727232
234,15.65499722,19.7981813,17.16272384,17.53863412
235,16.32848551,19.57984701,21.97984933,19.29606062
236,18.13015302,20.26924522,19.33590885,19.24510236
237,18.4183341,18.18303042,20.24454588,18.9486368
238,14.90681811,16.82878471,19.02500181,16.92020154
239,15.80712167,17.84757921,18.24136407,17.29868832
240,16.27075806,20.28742345,16.83288128,17.79702093
241,18.03212099,19.3865214,17.89393461,18.43752567
242,18.91409361,14.343186,19.90666665,17.72131542
243,17.00181842,9.3686365,17.55651511,14.64232334
244,17.35151812,10.17712218,16.24499853,14.59121294
245,18.01515175,13.3181817,14.68908986,15.34080777
246,17.75878925,15.50484863,14.70530235,15.98964674
247,17.59030438,13.73817575,16.11803026,15.81550346
248,15.99106067,16.02560624,17.68287879,16.56651523
249,12.38030357,15.83272727,19.37697117,15.863334
250,15.68954526,16.14394276,18.76408873,16.86585892
251,16.95090961,13.63848647,18.47863701,16.35601103
252,14.12545444,12.2910604,19.09227142,15.16959542
253,14.37712076,12.77575744,17.38363758,14.84550526
254,14.26091111,15.85712067,14.5287861,14.88227263
255,15.38742482,16.0174242,14.86696939,15.42393947
256,15.84045487,16.38000022,17.11500026,16.44515178
257,15.73878775,17.42575692,14.74727235,15.97060567
258,15.87394232,17.42242426,15.17606335,16.15747664
259,17.27318287,17.67015187,16.0853019,17.00954555
260,19.78515085,16.29575997,14.5218184,16.86757641
261,15.60470131,17.31666726,14.49514863,15.80550573
262,16.53908787,15.46273073,10.74833643,14.25005168
263,17.44742362,15.06818417,11.8407557,14.7854545
264,15.62317887,14.66348549,10.5130315,13.59989862
265,14.3684851,12.10636466,12.41818207,12.96434394
266,10.69742511,12.74151875,14.33576269,12.59156885
267,11.34605223,16.86666312,16.75863881,14.99045139
268,13.74621037,16.732577,15.98364657,15.48747798
269,12.82666595,12.13227268,11.85818184,12.27237349
270,12.73742875,9.71560968,11.39560869,11.28288237
271,10.571816,12.85394809,11.83242395,11.75272935
272,9.88227277,5.81620951,10.99317951,8.897220597
273,10.31954648,8.48666642,13.01545457,10.60722249
274,11.48000147,9.19226891,12.16969725,10.94732254
275,10.82378577,11.53015204,10.82439225,11.05944335
276,8.78924316,12.07727662,11.11696993,10.66116324
277,9.15954541,8.82333389,7.19560669,8.392828663
278,10.51317955,8.33530468,8.6803033,9.17626251
279,10.49575835,9.17469679,10.72288093,10.13111202
280,12.37939393,7.31333295,7.3804548,9.024393893
281,12.38015433,9.02408767,8.13121066,9.845150887
282,12.29212104,11.04272779,7.53999759,10.29161547
283,12.03121064,9.57152191,9.80711767,10.46995007
284,12.83817123,9.59636385,9.59772905,10.67742138
285,16.59878784,7.31681764,8.97348562,10.96303037
286,14.32789302,7.99771558,7.05091535,9.79217465
287,12.19575871,7.07878496,5.84924236,8.374595343
288,6.14696812,10.5972764,7.17423933,7.97282795
289,4.73754235,6.63138401,8.99243121,6.78711919
290,8.70167039,2.40484292,12.41772828,7.841413863
291,15.89196626,0.39545582,9.78091357,8.689445217
292,12.40576161,1.20605213,11.01726722,8.209693653
293,7.71136717,5.24330276,10.58059526,7.845088397
294,3.61969643,13.22212163,12.58227202,9.808030027
295,6.7669698,14.52924081,11.47075739,10.92232267
296,8.34455299,11.59788162,4.64666711,8.19636724
297,7.29197,7.50182193,3.06651977,5.953437233
298,5.49544385,5.38681465,3.69729285,4.85985045
299,6.18514858,7.24621146,5.89183221,6.441064083
300,8.50757161,7.09742505,3.68682145,6.430606037
301,10.8495518,5.13439137,6.14287584,7.375606337
302,8.27606504,7.35651999,12.00937451,9.213986513
303,8.46030805,8.14923381,14.59712157,10.40222114
304,12.22878957,3.67909412,14.63984303,10.18257557
305,15.34439322,5.80681796,11.70272631,10.9513125
306,16.06787972,7.34757606,5.39530542,9.603587067
307,14.36136627,8.58712099,6.82394294,9.9241434
308,12.54469889,10.57060639,3.14621176,8.753839013
309,8.86500056,7.08606135,4.46969244,6.806918117
310,8.05634677,7.62877834,0.79045368,5.491859597
311,7.70000125,8.91529901,0.35318303,5.656161097
312,7.47320696,8.8299922,1.0589311,5.787376753
313,6.95969782,7.72590815,2.32181881,5.669141593
314,2.67711909,7.88924514,0.15197115,3.57277846
315,1.25272973,5.34531782,0.97499989,2.524349147
316,4.58923746,3.61166859,1.54575492,3.24888699
317,9.73030342,5.12545229,1.83272723,5.562827647
318,4.43667037,5.9928808,3.03014972,4.486566963
319,2.72939206,9.8659109,7.11486703,6.570056663
320,1.74985624,12.4806076,0.1930373,4.807833713
321,1.13622864,9.95666554,1.50484936,4.199247847
322,0.76362738,5.53076501,1.85878843,2.71772694
323,-3.20908828,7.66212234,5.15091458,3.201316213
324,0.41241394,5.07575158,7.54772788,4.3452978
325,6.35378769,4.21802726,7.75044815,6.107421033
326,7.07787699,1.61530744,4.33560721,4.342930547
327,7.82924718,-0.03362406,2.93939765,3.578340257
328,7.73379255,-0.83317867,1.62349255,2.84136881
329,9.17575698,-0.46363403,0.79924277,3.17045524
330,8.0657565,2.61620453,0.95833325,3.880098093
331,10.39454225,8.08273132,1.14211927,6.539797613
332,9.5372834,5.98378978,-1.20605368,4.771673167
333,12.30546194,5.25288093,6.65652101,8.071621293
334,8.42818214,3.56954598,0.06756972,4.021765947
335,6.11833484,1.77454103,-1.45530247,2.1458578
336,4.56015418,1.31318022,1.15999979,2.34444473
337,2.48953728,3.4343994,-1.83333646,1.363533407
